date,channel,conversions,revenue,emails_sent,impressions,spend,clicks,week
2024-08-01,Email,9,978.96,1999.0,,0.0,110.0,2024-31
2024-08-01,PPC,11,1045.63,,,250.82,0.0,2024-31
2024-08-01,Social Media,4,268.02,,16755.0,172.82,228.0,2024-31
2024-08-02,Email,8,879.14,1845.0,,0.0,90.99958338541356,2024-31
2024-08-02,PPC,24,2124.4,,,366.19,0.0,2024-31
2024-08-02,Social Media,2,328.15999999999997,,11082.0,112.54,133.0,2024-31
2024-08-03,Email,8,927.63,2138.0,,0.0,115.99666833293657,2024-31
2024-08-03,PPC,8,583.75,,,226.53,0.0,2024-31
2024-08-03,Social Media,5,445.59000000000003,,15450.0,142.8,175.0,2024-31
2024-08-04,Email,12,1618.4,2374.0,,0.0,123.98876264947198,2024-31
2024-08-04,PPC,23,2400.89,,,366.72,0.0,2024-31
2024-08-04,Social Media,6,474.15,,18373.0,171.98,268.0,2024-31
2024-08-05,Email,10,1276.53,1784.0,,0.0,108.97338661590122,2024-32
2024-08-05,PPC,13,1079.28,,,280.78,0.0,2024-32
2024-08-05,Social Media,5,514.17,,10092.0,119.25,198.0,2024-32
2024-08-06,Email,9,971.13,1653.0,,0.0,98.94807918509046,2024-32
2024-08-06,PPC,12,1114.86,,,339.69,0.0,2024-32
2024-08-06,Social Media,4,274.47,,14023.0,122.17,182.0,2024-32
2024-08-07,Email,10,944.25,2470.0,,0.0,109.9104041332268,2024-32
2024-08-07,PPC,21,2143.45,,,339.71,0.0,2024-32
2024-08-07,Social Media,3,237.53,,13787.0,148.98,154.0,2024-32
2024-08-08,Email,9,1103.27,2094.0,,0.0,113.85795614910904,2024-32
2024-08-08,PPC,16,1511.4199999999998,,,349.54,0.0,2024-32
2024-08-08,Social Media,8,576.53,,17300.0,159.66,270.0,2024-32
2024-08-09,Email,9,1305.68,2834.0,,0.0,131.788366846173,2024-32
2024-08-09,PPC,13,1439.89,,,310.58,0.0,2024-32
2024-08-09,Social Media,4,338.3,,13888.0,120.61,170.0,2024-32
2024-08-10,Email,7,874.84,1957.0,,0.0,105.6993106822246,2024-32
2024-08-10,PPC,9,782.95,,,241.14,0.0,2024-32
2024-08-10,Social Media,8,405.46000000000004,,18416.0,165.87,349.0,2024-32
2024-08-11,Email,11,1525.46,2495.0,,0.0,140.58851077208405,2024-32
2024-08-11,PPC,10,1205.96,,,302.38,0.0,2024-32
2024-08-11,Social Media,5,479.08,,11315.0,140.24,224.0,2024-32
2024-08-12,Email,10,1348.07,2470.0,,0.0,120.45374457861318,2024-33
2024-08-12,PPC,16,1474.3600000000001,,,370.19,0.0,2024-33
2024-08-12,Social Media,4,309.15,,13790.0,131.87,140.0,2024-33
2024-08-13,Email,13,1501.08,2370.0,,0.0,152.2928494679007,2024-33
2024-08-13,PPC,15,1556.98,,,377.66,0.0,2024-33
2024-08-13,Social Media,3,238.39000000000001,,15443.0,168.24,176.0,2024-33
2024-08-14,Email,10,1679.65,2639.0,,0.0,140.10372811472078,2024-33
2024-08-14,PPC,18,1502.92,,,310.45,0.0,2024-33
2024-08-14,Social Media,4,391.34,,13862.0,116.88,181.0,2024-33
2024-08-15,Email,11,1837.66,3031.0,,0.0,157.8843537447538,2024-33
2024-08-15,PPC,15,1222.03,,,353.57,0.0,2024-33
2024-08-15,Social Media,7,544.95,,18491.0,158.54,257.0,2024-33
2024-08-16,Email,11,1783.2,3120.0,,0.0,145.63277520046668,2024-33
2024-08-16,PPC,11,791.43,,,277.89,0.0,2024-33
2024-08-16,Social Media,5,425.95000000000005,,11760.0,115.62,190.0,2024-33
2024-08-17,Email,12,1482.4,2533.0,,0.0,135.34712181799046,2024-33
2024-08-17,PPC,15,1458.03,,,334.79,0.0,2024-33
2024-08-17,Social Media,6,556.8199999999999,,19294.0,177.42,229.0,2024-33
2024-08-18,Email,13,1606.94,3704.0,,0.0,152.02560810280585,2024-33
2024-08-18,PPC,23,2180.36,,,319.01,0.0,2024-33
2024-08-18,Social Media,4,241.03000000000003,,15660.0,144.88,163.0,2024-33
2024-08-19,Email,10,1447.28,2199.0,,0.0,108.66653819254968,2024-34
2024-08-19,PPC,22,2601.48,,,394.7,0.0,2024-34
2024-08-19,Social Media,7,512.4,,14833.0,165.51,302.0,2024-34
2024-08-20,Email,11,1775.75,2525.0,,0.0,120.26831009578748,2024-34
2024-08-20,PPC,16,2023.35,,,311.18,0.0,2024-34
2024-08-20,Social Media,5,260.32,,13378.0,135.85,208.0,2024-34
2024-08-21,Email,9,1450.07,1907.0,,0.0,121.82941969615791,2024-34
2024-08-21,PPC,14,1113.8,,,272.82,0.0,2024-34
2024-08-21,Social Media,5,379.97,,18825.0,166.44,238.0,2024-34
2024-08-22,Email,12,1877.05,3159.0,,0.0,139.34846451188034,2024-34
2024-08-22,PPC,15,1492.25,,,264.52,0.0,2024-34
